,nom_jeu,na_vente_jeu,eu_vente_jeu,jp_vente_jeu,autre_vente_jeu,global_vente_jeu,id_calendrier,id_console,id_genre,id_editeur
9854,PixelJunk Monsters Deluxe,0.11,0.0,0.0,0.01,0.12,2010-01-01,20,12,457
9855,Tom Clancy's EndWar,0.1,0.01,0.0,0.01,0.12,2008-01-01,20,12,526
9856,Ultimate Card Games,0.09,0.03,0.0,0.0,0.12,2003-01-01,7,4,502
9857,Jikkyou Powerful Pro Yakyuu 8 Ketteiban,0.0,0.0,0.12,0.0,0.12,2001-01-01,17,11,276
9858,Rubik's World,0.1,0.01,0.0,0.01,0.12,2008-01-01,5,6,183
9859,Lost Magic,0.09,0.0,0.02,0.01,0.12,2006-01-01,5,8,526
9860,Wallace & Gromit: Curse of the Were-Rabbit,0.06,0.05,0.0,0.02,0.12,2005-01-01,17,2,276
9861,DreamWorks Super Star Kartz,0.08,0.03,0.0,0.01,0.12,2011-01-01,3,7,22
9862,Minute to Win It,0.11,0.0,0.0,0.01,0.12,2010-01-01,5,4,568
9863,The Bible Game,0.09,0.03,0.0,0.0,0.12,2005-01-01,7,4,102
9864,NFL Head Coach,0.09,0.03,0.0,0.0,0.12,2006-01-01,30,11,139
9865,Pinball Hall of Fame: The Williams Collection,0.11,0.0,0.0,0.01,0.12,2009-01-01,29,4,102
9866,Medarot 4: Kabuto / Kuwagata Version,0.0,0.0,0.12,0.0,0.12,2001-01-01,6,8,239
9867,Backyard Sports Football: Rookie Rush,0.11,0.0,0.0,0.01,0.12,2010-01-01,29,11,54
9868,Sacred 3,0.03,0.05,0.02,0.02,0.12,2014-01-01,18,8,121
9869,Major League Baseball 2K6,0.11,0.0,0.0,0.01,0.12,,20,11,531
9870,Vacation Isle: Beach Party,0.09,0.02,0.0,0.01,0.12,2010-01-01,27,4,550
9871,Fit in Six,0.11,0.0,0.0,0.01,0.12,2011-01-01,27,11,526
9872,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,0.0,0.0,0.12,0.0,0.12,2010-01-01,20,9,348
9873,"Ed, Edd n Eddy: The Mis-Edventures",0.08,0.03,0.0,0.0,0.12,2005-01-01,7,5,326
9874,Onimusha: Blade Warriors,0.06,0.05,0.0,0.02,0.12,2003-01-01,17,3,86
9875,Tecmo Bowl: Kickoff,0.11,0.0,0.0,0.01,0.12,2008-01-01,5,11,501
9876,Disney's Extreme Skate Adventure,0.09,0.02,0.0,0.0,0.12,2003-01-01,8,11,22
9877,Akuji the Heartless,0.07,0.04,0.0,0.01,0.12,1998-01-01,16,5,138
9878,NBA 2K2,0.09,0.02,0.0,0.0,0.12,2002-01-01,8,11,447
9879,7 Days to Die,0.03,0.07,0.0,0.02,0.12,2016-01-01,19,1,503
9880,Monster Jam: Path of Destruction,0.11,0.0,0.0,0.01,0.12,2010-01-01,29,7,22
9881,Everybody Dance,0.11,0.0,0.0,0.01,0.12,2011-01-01,18,4,457
9882,Psychonauts,0.09,0.03,0.0,0.0,0.12,2005-01-01,30,5,489
9883,Power Gig: Rise of the SixString,0.11,0.0,0.0,0.01,0.12,2010-01-01,29,4,531
9884,Deus Ex: Human Revolution,0.06,0.05,0.0,0.01,0.12,2013-01-01,28,9,466
9885,Jeremy McGrath Supercross World,0.09,0.02,0.0,0.0,0.12,2002-01-01,8,7,18
9886,Uta no * Prince-Sama: All Star,0.0,0.0,0.12,0.0,0.12,2013-01-01,20,1,79
9887,HardBall 5,0.07,0.04,0.0,0.01,0.12,1996-01-01,16,11,440
9888,Airborne Troops: Countdown to D-Day,0.06,0.05,0.0,0.02,0.12,2005-01-01,17,9,403
9889,MLB Inside Pitch 2003,0.09,0.03,0.0,0.0,0.12,2003-01-01,30,11,324
9890,ArmA III,0.0,0.1,0.0,0.02,0.12,2013-01-01,14,9,75
9891,The Walking Dead: Season Two,0.04,0.07,0.0,0.01,0.12,2014-01-01,29,2,503
9892,Marvel Trading Card Game,0.11,0.0,0.0,0.01,0.12,2007-01-01,5,4,276
9893,One Piece: Super Grand Battle! X,0.0,0.0,0.12,0.0,0.12,2014-01-01,3,3,348
9894,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,0.07,0.03,0.0,0.01,0.12,2011-01-01,5,1,489
9895,Self-Defense Training Camp,0.08,0.03,0.0,0.01,0.12,2011-01-01,29,11,526
9896,Battles of Prince of Persia,0.1,0.01,0.0,0.01,0.12,2005-01-01,5,12,526
9897,Deca Sports Extreme,0.08,0.0,0.03,0.01,0.12,2011-01-01,3,11,225
9898,Cruis'n,0.1,0.01,0.0,0.01,0.12,2007-01-01,27,7,326
9899,Hatsune Miku: Project Diva X,0.01,0.0,0.1,0.0,0.12,2016-01-01,21,4,447
9900,Battle Arena Toshinden Remix,0.0,0.0,0.12,0.0,0.12,1994-01-01,22,3,447
9901,Assassin's Creed Chronicles,0.02,0.06,0.01,0.02,0.12,2016-01-01,21,1,526
9902,Legends of Wrestling II,0.09,0.02,0.0,0.0,0.12,2002-01-01,8,3,18
9903,Tropico 5,0.02,0.08,0.0,0.01,0.12,2014-01-01,14,10,266
9904,A.C.E.: Another Century's Episode Portable,0.0,0.0,0.12,0.0,0.12,2011-01-01,20,10,348
9905,Dragon Quest Builders: Revive Alefgard,0.0,0.0,0.12,0.0,0.12,2016-01-01,18,8,466
9906,Rodea the Sky Soldier,0.08,0.02,0.01,0.01,0.12,2015-01-01,28,1,363
9907,Peggle: Dual Shot,0.11,0.0,0.0,0.01,0.12,2009-01-01,5,6,408
9908,Jikkyou Powerful Pro Yakyuu 9,0.0,0.0,0.11,0.0,0.12,2002-01-01,8,11,276
9909,Sniper Elite,0.08,0.03,0.0,0.01,0.12,2010-01-01,27,9,428
9910,Etrian Odyssey V,0.0,0.0,0.12,0.0,0.12,2016-01-01,3,8,56
9911,Jikkyou Powerful Pro Yakyuu 2014,0.0,0.0,0.12,0.0,0.12,2014-01-01,21,11,276
9912,Barbie as The Island Princess,0.06,0.04,0.0,0.02,0.12,2007-01-01,17,2,22
9913,Crime Killer,0.07,0.04,0.0,0.01,0.12,1998-01-01,16,7,247
9914,NPPL: Championship Paintball 2009,0.11,0.0,0.0,0.01,0.12,2008-01-01,27,9,24
9915,Backyard Wrestling 2: There Goes the Neighborhood,0.09,0.03,0.0,0.0,0.12,2004-01-01,30,3,138
9916,Dementium II,0.09,0.02,0.0,0.01,0.12,2010-01-01,5,9,462
9917,Don Bradman Cricket 14,0.01,0.09,0.0,0.02,0.12,2015-01-01,19,11,519
9918,USA Today Crossword Challenge,0.11,0.0,0.0,0.01,0.12,2008-01-01,5,6,123
9919,MegaTagmension Blanc + Neptune VS Zombies,0.02,0.03,0.05,0.01,0.12,2015-01-01,21,1,232
9920,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,0.0,0.0,0.12,0.0,0.12,1994-01-01,24,3,36
9921,SD Gundam G Generation-F.I.F,0.0,0.0,0.11,0.01,0.12,2001-01-01,16,12,348
9922,Jaws: Ultimate Predator,0.11,0.0,0.0,0.01,0.12,2011-01-01,3,1,297
9923,Yakuza Kiwami,0.0,0.0,0.12,0.0,0.12,2016-01-01,18,2,447
9924,Raiden IV,0.1,0.0,0.01,0.01,0.12,2008-01-01,29,9,337
9925,Deception IV: Blood Ties,0.02,0.02,0.06,0.01,0.12,2014-01-01,18,1,501
9926,The Walking Dead: Survival Instinct,0.08,0.03,0.0,0.01,0.12,2013-01-01,28,9,22
9927,Rock Band: Metal Track Pack,0.11,0.0,0.0,0.01,0.12,2009-01-01,18,4,293
9928,Charm Girls Club: My Perfect Prom,0.11,0.0,0.0,0.01,0.12,2009-01-01,5,10,139
9929,DreamWorks Super Star Kartz,0.06,0.03,0.0,0.02,0.12,2011-01-01,18,7,22
9930,Harukanaru Augusta 2: Masters,0.0,0.0,0.12,0.0,0.12,1993-01-01,24,11,485
9931,Castlevania: Curse of Darkness,0.09,0.03,0.0,0.0,0.12,2005-01-01,30,1,276
9932,Spider-Man: Edge of Time,0.08,0.03,0.0,0.01,0.12,2011-01-01,3,1,22
9933,Mobil 1 Rally Championship,0.07,0.04,0.0,0.01,0.12,2000-01-01,16,7,139
9934,King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,0.0,0.0,0.12,0.0,0.12,2002-01-01,17,3,463
9935,Turok: Evolution,0.08,0.03,0.0,0.0,0.12,2002-01-01,7,9,18
9936,The Clique: Diss and Make Up,0.11,0.0,0.0,0.01,0.12,2009-01-01,5,2,550
9937,Love Live! School Idol Paradise,0.0,0.0,0.12,0.0,0.12,2014-01-01,21,4,263
9938,Rugrats: Totally Angelica,0.06,0.04,0.0,0.01,0.12,2001-01-01,16,2,489
9939,Nightshade,0.06,0.04,0.0,0.01,0.12,2003-01-01,17,1,447
9940,NFL Tour,0.1,0.01,0.0,0.01,0.12,2008-01-01,18,11,139
9941,Ridge Racer Unbounded,0.05,0.05,0.0,0.01,0.12,2012-01-01,29,7,348
9942,CSI: Crime Scene Investigation,0.09,0.03,0.0,0.0,0.12,2004-01-01,30,2,526
9943,The Lord of the Rings: Aragorn's Quest,0.07,0.02,0.0,0.02,0.12,2010-01-01,20,1,550
9944,Yogi Bear: The Video Game,0.06,0.05,0.0,0.01,0.12,2010-01-01,27,1,110
9945,Makai Shin Trillion,0.02,0.02,0.06,0.01,0.12,2014-01-01,21,8,231
9946,Buffy the Vampire Slayer: Chaos Bleeds,0.09,0.03,0.0,0.0,0.12,2003-01-01,30,1,546
9947,Lost Horizon,0.0,0.1,0.0,0.02,0.12,2010-01-01,14,2,121
9948,Hanagumi Taisen Columns,0.0,0.0,0.12,0.0,0.12,1997-01-01,22,6,447
9949,Tales of Destiny 2,0.0,0.0,0.12,0.0,0.12,2007-01-01,20,8,348
9950,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.09,0.02,0.0,0.0,0.12,2005-01-01,8,1,276
9951,Power Pro Kun Pocket 14,0.0,0.0,0.12,0.0,0.12,2011-01-01,5,11,276
9952,Get Up and Dance,0.06,0.04,0.0,0.01,0.12,2011-01-01,27,4,371
9953,Merv Griffin's Crosswords,0.11,0.0,0.0,0.01,0.12,2008-01-01,27,6,489
9954,Rango: The Video Game,0.07,0.03,0.0,0.01,0.12,2011-01-01,5,1,139
9955,Planet 51,0.07,0.03,0.0,0.02,0.12,2009-01-01,18,1,447
9956,Ultimate Puzzle Games: Sudoku Edition,0.11,0.0,0.0,0.01,0.12,2007-01-01,5,6,502
9957,Tokyo Twilight Ghost Hunters,0.06,0.01,0.02,0.02,0.12,2014-01-01,21,8,29
9958,Deadpool,0.08,0.03,0.0,0.01,0.12,2015-01-01,31,1,22
9959,UN Squadron,0.0,0.0,0.12,0.0,0.12,1991-01-01,24,9,86
9960,Tecmo Super Bowl,0.06,0.04,0.0,0.01,0.12,1996-01-01,16,11,501
9961,TMNT,0.1,0.01,0.0,0.01,0.12,2007-01-01,20,1,526
9962,Dora the Explorer: Journey to the Purple Planet,0.09,0.02,0.0,0.0,0.12,2005-01-01,8,2,199
9963,Lunar 2: Eternal Blue,0.0,0.0,0.12,0.0,0.12,1998-01-01,22,8,264
9964,NHL Powerplay '96,0.06,0.04,0.0,0.01,0.12,1996-01-01,16,11,543
9965,Thousand Arms,0.06,0.04,0.0,0.01,0.12,1998-01-01,16,8,56
9966,de Blob 2,0.09,0.02,0.0,0.01,0.12,2011-01-01,5,5,489
9967,Arctic Thunder,0.09,0.02,0.0,0.0,0.12,2001-01-01,30,7,326
9968,Hyperdimension Neptunia Re;Birth 3,0.07,0.01,0.0,0.03,0.12,2014-01-01,21,1,232
9969,Barnyard,0.09,0.02,0.0,0.0,0.12,2006-01-01,8,1,489
9970,Stolen Song,0.0,0.0,0.11,0.01,0.12,1998-01-01,16,2,457
9971,Darkspore,0.07,0.03,0.0,0.01,0.12,2011-01-01,14,8,139
9972,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,0.09,0.01,0.0,0.01,0.12,2013-01-01,29,4,526
9973,Armored Core: Verdict Day,0.0,0.0,0.12,0.0,0.12,2013-01-01,18,10,166
9974,Yattaman DS: BikkuriDokkiri Daisakusen da Koron,0.0,0.0,0.12,0.0,0.12,2008-01-01,5,1,494
9975,Harvey Birdman: Attorney at Law,0.06,0.04,0.0,0.01,0.12,2008-01-01,17,2,86
9976,Wipeout 2,0.11,0.0,0.0,0.01,0.12,2011-01-01,18,4,22
9977,Dawn of Discovery,0.07,0.03,0.0,0.01,0.12,2009-01-01,5,10,526
9978,DEATH NOTE: Kira Game,0.0,0.0,0.12,0.0,0.12,2007-01-01,5,2,276
9979,Sengoku Cyber: Fujimaru Jigokuhen,0.0,0.0,0.11,0.01,0.12,1995-01-01,16,12,457
9980,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,0.0,0.0,0.12,0.0,0.12,2007-01-01,17,4,110
9981,ASH: Archaic Sealed Heat,0.0,0.0,0.12,0.0,0.12,2007-01-01,5,8,360
9982,Happy Feet Two,0.09,0.02,0.0,0.01,0.12,,5,1,550
9983,Brunswick Pro Bowling,0.11,0.0,0.0,0.01,0.12,2011-01-01,3,11,102
9984,Fantastic Four: Rise of the Silver Surfer,0.1,0.01,0.0,0.01,0.12,2007-01-01,29,1,495
9985,Dorabase 2: Nettou Ultra Stadium,0.0,0.0,0.12,0.0,0.12,2009-01-01,5,11,348
9986,Center Ring Boxing,0.0,0.0,0.12,0.0,0.12,1994-01-01,22,3,254
9987,NHL 2K3,0.09,0.02,0.0,0.0,0.12,2002-01-01,30,11,447
9988,Puzzler World 2,0.02,0.07,0.0,0.02,0.12,2010-01-01,5,6,526
9989,Die Hard: Vendetta,0.09,0.02,0.0,0.0,0.12,2002-01-01,8,9,345
9990,Sword Art Online: Hollow Fragment,0.0,0.1,0.0,0.02,0.12,2015-01-01,19,8,348
9991,F1 2002,0.05,0.04,0.02,0.01,0.12,2002-01-01,17,7,139
9992,Hasbro Family Game Night Fun Pack,0.11,0.0,0.0,0.01,0.12,2011-01-01,27,4,139
9993,FIFA Soccer,0.11,0.0,0.0,0.01,0.12,2005-01-01,20,11,139
9994,Dead Island Definitive Collection,0.02,0.07,0.01,0.02,0.12,2016-01-01,19,1,121
9995,Sphinx and the Cursed Mummy,0.09,0.02,0.0,0.0,0.12,2003-01-01,30,1,489
9996,Army Men: Soldiers of Misfortune,0.11,0.0,0.0,0.01,0.12,2008-01-01,5,9,568
9997,GT Advance 2: Rally Racing,0.08,0.03,0.0,0.0,0.11,2001-01-01,7,7,489
9998,Mystery P.I. - Portrait of a Thief,0.11,0.0,0.0,0.01,0.11,2008-01-01,5,2,531
9999,Yakuza,0.0,0.0,0.11,0.0,0.11,2012-01-01,18,1,447
10000,DOA 2: Dead or Alive 2 Hardcore,0.0,0.0,0.11,0.0,0.11,2000-01-01,17,3,501
10001,A Witch's Tale,0.08,0.0,0.03,0.01,0.11,2009-01-01,5,8,363
10002,Hollywood Squares,0.11,0.0,0.0,0.01,0.11,2010-01-01,27,4,526
10003,Cabela's Deer Hunt 2005 Season,0.09,0.02,0.0,0.0,0.11,2004-01-01,30,11,22
10004,SplashDown,0.09,0.02,0.0,0.0,0.11,2002-01-01,30,7,54
10005,Nobunaga no Yabou: Tenshoki,0.0,0.0,0.11,0.0,0.11,1995-01-01,22,12,501
10006,Stronghold,0.0,0.09,0.0,0.02,0.11,2001-01-01,14,12,190
10007,Warhammer: Battle March,0.09,0.02,0.0,0.01,0.11,2008-01-01,29,12,121
10008,F1 Racing Championship,0.06,0.04,0.0,0.01,0.11,2000-01-01,16,7,540
10009,Dead Man's Hand,0.09,0.02,0.0,0.0,0.11,2004-01-01,30,9,54
10010,Smash Cars,0.06,0.04,0.0,0.01,0.11,2003-01-01,17,7,319
10011,NASCAR 07,0.06,0.04,0.0,0.01,0.11,2006-01-01,17,7,139
10012,Karaoke Revolution Presents American Idol Encore 2,0.11,0.0,0.0,0.01,0.11,2008-01-01,18,4,276
10013,Nickelodeon Dance,0.08,0.02,0.0,0.01,0.11,2011-01-01,29,4,495
10014,Pac 'n Roll,0.09,0.0,0.02,0.01,0.11,2005-01-01,5,5,348
10015,Cabela's North American Adventures,0.11,0.0,0.0,0.01,0.11,2010-01-01,18,11,22
10016,Mechanic Master,0.1,0.0,0.0,0.01,0.11,2008-01-01,5,6,326
10017,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,0.0,0.0,0.11,0.0,0.11,2005-01-01,17,11,276
10018,Melty Blood: Act Cadenza,0.0,0.0,0.11,0.0,0.11,2006-01-01,17,3,447
10019,Dokapon Kingdom,0.05,0.04,0.02,0.01,0.11,2007-01-01,17,8,471
10020,ToeJam & Earl III: Mission to Earth,0.09,0.02,0.0,0.0,0.11,2002-01-01,30,1,447
10021,Phantasy Star Collection,0.08,0.03,0.0,0.0,0.11,2002-01-01,7,8,54
10022,Doukoku Shoshite...,0.0,0.0,0.11,0.0,0.11,1998-01-01,22,2,119
10023,LEGO Knights' Kingdom,0.08,0.03,0.0,0.0,0.11,2004-01-01,7,1,489
10024,Final Fantasy III,0.0,0.0,0.11,0.0,0.11,2012-01-01,20,8,466
10025,Family Game Night 4: The Game Show,0.08,0.02,0.0,0.01,0.11,2011-01-01,18,4,139
10026,Retro Game Challenge,0.0,0.0,0.11,0.0,0.11,2007-01-01,5,1,348
10027,NBA Jam 2002,0.08,0.03,0.0,0.0,0.11,2002-01-01,7,11,18
10028,Every Extend Extra,0.1,0.01,0.0,0.01,0.11,2006-01-01,20,9,127
10029,Shining Force NEO,0.06,0.04,0.0,0.01,0.11,2005-01-01,17,8,447
10030,Tony Hawk's Pro Skater 5,0.08,0.02,0.0,0.01,0.11,2015-01-01,31,11,22
10031,Brain Quest: Grades 5 & 6,0.11,0.0,0.0,0.01,0.11,2008-01-01,5,4,139
10032,SingStar Latino,0.11,0.0,0.0,0.01,0.11,2009-01-01,18,4,457
10033,Girl Time,0.11,0.0,0.0,0.01,0.11,2009-01-01,5,10,489
10034,Army Men: Sarge's War,0.09,0.02,0.0,0.0,0.11,2004-01-01,30,9,199
10035,Ultimate Mortal Kombat,0.09,0.01,0.0,0.01,0.11,2007-01-01,5,3,326
10036,Pocket Soccer League: Calciobit,0.0,0.0,0.11,0.0,0.11,2012-01-01,3,11,360
10037,Primal Rage,0.06,0.04,0.0,0.01,0.11,1994-01-01,16,3,509
10038,FIFA Street 2,0.09,0.02,0.0,0.0,0.11,2006-01-01,8,11,139
10039,DiRT Rally,0.03,0.08,0.0,0.01,0.11,2016-01-01,31,7,92
10040,Heart Catch PreCure! Oshare Collection,0.0,0.0,0.11,0.0,0.11,2010-01-01,5,1,348
10041,UEFA Euro 2016,0.0,0.08,0.02,0.01,0.11,2016-01-01,18,11,276
10042,Taito Legends,0.06,0.04,0.0,0.01,0.11,2005-01-01,17,4,143
10043,Tom Clancy's Rainbow Six: Rogue Spear,0.08,0.03,0.0,0.0,0.11,2002-01-01,7,9,526
10044,BoomBots,0.06,0.04,0.0,0.01,0.11,1999-01-01,16,3,462
10045,Monster Madness: Battle for Suburbia,0.1,0.0,0.0,0.01,0.11,2007-01-01,29,9,462
10046,Star Trek: Conquest,0.06,0.04,0.0,0.01,0.11,,17,12,67
10047,FIFA Soccer 06,0.1,0.01,0.0,0.01,0.11,2005-01-01,20,11,139
10048,Life is Strange,0.08,0.02,0.0,0.01,0.11,2016-01-01,31,2,466
10049,NFL Head Coach 09,0.11,0.0,0.0,0.01,0.11,2008-01-01,29,11,139
10050,World Championship Rugby,0.06,0.04,0.0,0.01,0.11,2004-01-01,17,11,18
10051,Phantom Dust,0.08,0.02,0.0,0.0,0.11,2004-01-01,30,1,324
10052,Shinseiki Evangelion: Koutetsu no Girlfriend,0.0,0.0,0.11,0.01,0.11,1998-01-01,16,2,180
10053,Shin Sangoku Musou: Multi Raid 2,0.0,0.0,0.11,0.0,0.11,2010-01-01,20,1,501
10054,Taiko Drum Master: Tokumori!,0.0,0.0,0.11,0.0,0.11,2014-01-01,28,4,348
10055,Growlanser Generations,0.06,0.04,0.0,0.01,0.11,2003-01-01,17,8,56
10056,Mega Man Battle Chip Challenge,0.08,0.03,0.0,0.0,0.11,2003-01-01,7,4,86
10057,Desktop Tower Defense,0.11,0.0,0.0,0.01,0.11,2009-01-01,5,12,489
10058,Puyo Puyo Tetris,0.0,0.0,0.11,0.0,0.11,2014-01-01,3,6,447
10059,Pro Evolution Soccer 2014,0.0,0.09,0.0,0.02,0.11,2013-01-01,14,1,276
10060,"Sakura Wars: So Long, My Love",0.06,0.04,0.0,0.01,0.11,2010-01-01,27,8,20
10061,The Settlers,0.1,0.0,0.0,0.01,0.11,2007-01-01,5,1,526
10062,Grease,0.1,0.0,0.0,0.01,0.11,2010-01-01,5,4,7
10063,My SAT Coach with The Princeton Review,0.1,0.0,0.0,0.01,0.11,2008-01-01,5,4,526
10064,Family Fun Football,0.1,0.0,0.0,0.01,0.11,2009-01-01,27,11,501
10065,Ring of Red,0.06,0.04,0.0,0.01,0.11,2000-01-01,17,12,276
10066,Cold Winter,0.06,0.04,0.0,0.01,0.11,2005-01-01,17,9,546
10067,International Track & Field 2000,0.06,0.04,0.0,0.01,0.11,1999-01-01,16,11,276
10068,The Hardy Boys: Treasure on the Tracks,0.11,0.0,0.0,0.01,0.11,2009-01-01,5,2,447
10069,PDC World Championship Darts: Pro Tour,0.0,0.09,0.0,0.03,0.11,2010-01-01,18,11,371
10070,Stubbs the Zombie in Rebel Without a Pulse,0.08,0.02,0.0,0.0,0.11,2005-01-01,30,1,489
10071,Batman: Dark Tomorrow,0.08,0.02,0.0,0.0,0.11,2003-01-01,30,1,270
10072,Ping Pals,0.1,0.0,0.0,0.01,0.11,2004-01-01,5,4,489
10073,Fatal Frame: Maiden of Black Water,0.0,0.03,0.08,0.0,0.11,2014-01-01,28,1,360
10074,MySims SkyHeroes,0.08,0.02,0.0,0.01,0.11,2010-01-01,18,1,139
10075,Blood Drive,0.09,0.01,0.0,0.01,0.11,2010-01-01,29,7,22
10076,18 Wheeler: American Pro Trucker,0.09,0.02,0.0,0.0,0.11,2002-01-01,8,7,18
10077,Jake Hunter Detective Story: Memories of the Past,0.06,0.0,0.05,0.0,0.11,2007-01-01,5,2,382
10078,Start the Party! Save the World,0.0,0.09,0.0,0.03,0.11,2011-01-01,18,4,457
10079,The King of Fighters XII,0.09,0.0,0.01,0.01,0.11,2009-01-01,29,3,233
10080,Digimon World DS,0.1,0.0,0.0,0.01,0.11,2006-01-01,5,8,348
10081,Naruto Ultimate Collection,0.06,0.04,0.0,0.01,0.11,2008-01-01,17,4,348
10082,The King of Fighters '99,0.0,0.0,0.11,0.01,0.11,2000-01-01,16,3,438
10083,Mass Destruction,0.06,0.04,0.0,0.01,0.11,1997-01-01,16,9,62
10084,Bodycount,0.07,0.03,0.0,0.01,0.11,2011-01-01,29,9,92
10085,Batman: Rise of Sin Tzu,0.08,0.02,0.0,0.0,0.11,2003-01-01,30,1,526
10086,Shinseiki Evangelion: Koutetsu no Girlfriend,0.0,0.0,0.11,0.0,0.11,1998-01-01,22,2,447
10087,Skylanders: SuperChargers,0.05,0.06,0.0,0.01,0.11,2015-01-01,3,1,22
10088,Super Swing Golf Season 2,0.08,0.0,0.03,0.01,0.11,2007-01-01,27,11,431
10089,Queen's Blade: Spiral Chaos,0.0,0.0,0.11,0.0,0.11,2009-01-01,20,8,348
10090,Jikkyou Powerful Pro Yakyuu '95,0.0,0.0,0.11,0.01,0.11,1994-01-01,16,11,276
10091,Spy vs Spy,0.08,0.02,0.0,0.0,0.11,2005-01-01,30,1,199
10092,Coraline,0.06,0.04,0.0,0.01,0.11,2009-01-01,17,1,110
10093,The Price is Right: Decades,0.11,0.0,0.0,0.01,0.11,2011-01-01,29,4,526
10094,Sega Touring Car Championship,0.0,0.0,0.11,0.0,0.11,1996-01-01,22,7,447
10095,GoldenEye: Rogue Agent,0.1,0.0,0.0,0.01,0.11,2005-01-01,5,9,139
10096,JASF: Jane's Advanced Strike Fighters,0.07,0.03,0.0,0.02,0.11,2011-01-01,18,10,121
10097,Cake Mania,0.09,0.01,0.0,0.01,0.11,2007-01-01,5,6,297
10098,Cold Fear,0.06,0.04,0.0,0.01,0.11,2005-01-01,17,1,526
10099,Akiba's Trip: Undead & Undressed,0.08,0.0,0.01,0.02,0.11,2014-01-01,19,1,21
10100,Zangeki no Reginleiv,0.0,0.0,0.11,0.0,0.11,2010-01-01,27,1,360
10101,Stronghold Kingdoms,0.0,0.1,0.0,0.02,0.11,2011-01-01,14,12,113
10102,Fabulous Finds,0.1,0.0,0.0,0.01,0.11,2009-01-01,5,6,533
10103,Vacation Sports,0.1,0.01,0.0,0.01,0.11,2009-01-01,27,11,526
10104,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,0.0,0.0,0.11,0.0,0.11,2006-01-01,17,4,116
10105,PDC World Championship Darts: Pro Tour,0.0,0.1,0.0,0.01,0.11,2010-01-01,27,11,371
10106,Pimp My Ride,0.1,0.0,0.0,0.01,0.11,2008-01-01,27,7,22
10107,Surf's Up,0.02,0.06,0.0,0.03,0.11,2007-01-01,20,11,526
10108,Invizimals: The Lost Tribes,0.0,0.08,0.0,0.04,0.11,2011-01-01,20,1,457
10109,Let's Play Garden,0.11,0.0,0.0,0.01,0.11,2010-01-01,5,10,121
10110,NHL Hitz 20-03,0.08,0.02,0.0,0.0,0.11,2002-01-01,30,11,326
10111,Murakumo: Renegade Mech Pursuit,0.04,0.01,0.06,0.0,0.11,2002-01-01,30,9,166
10112,Heavy Fire: Afghanistan,0.11,0.0,0.0,0.01,0.11,2011-01-01,27,9,305
10113,Samurai Warriors 4-II,0.03,0.02,0.06,0.01,0.11,2015-01-01,19,1,501
10114,Open Season,0.1,0.0,0.0,0.01,0.11,2006-01-01,29,5,526
10115,WireWay,0.1,0.0,0.0,0.01,0.11,2009-01-01,5,2,276
10116,Gun Metal,0.08,0.02,0.0,0.0,0.11,2002-01-01,30,9,421
10117,Just In Time Translations,0.1,0.0,0.0,0.01,0.11,2009-01-01,5,4,489
10118,John Daly's ProStroke Golf,0.09,0.02,0.0,0.01,0.11,2010-01-01,18,11,371
10119,Pro Yaky? Spirits 5,0.0,0.0,0.11,0.0,0.11,2008-01-01,18,11,276
10120,Samurai Warriors 4-II,0.0,0.0,0.11,0.0,0.11,2015-01-01,18,1,501
10121,BloodRayne,0.09,0.02,0.0,0.0,0.11,2002-01-01,8,9,530
10122,The Hardy Boys: The Hidden Theft,0.07,0.03,0.0,0.01,0.11,2009-01-01,27,2,506
10123,Metal Slug 4 & 5,0.05,0.04,0.0,0.01,0.11,2005-01-01,17,9,439
10124,Pac-Man and the Ghostly Adventures 2,0.05,0.05,0.0,0.01,0.11,2014-01-01,29,2,348
10125,ECW Anarchy Rulz,0.06,0.04,0.0,0.01,0.11,1999-01-01,16,3,18
10126,InuYasha: A Feudal Fairy Tale,0.0,0.0,0.1,0.01,0.11,2002-01-01,16,3,348
10127,Gem Quest: 4 Elements,0.05,0.05,0.0,0.01,0.11,2011-01-01,5,6,304
10128,Funky Barn,0.07,0.03,0.0,0.01,0.11,2012-01-01,3,10,526
10129,J-League Winning Eleven 9: Asia Championship,0.0,0.0,0.11,0.0,0.11,2005-01-01,17,11,276
10130,Sabrina The Teenage Witch: Potion Commotion,0.08,0.03,0.0,0.0,0.11,2002-01-01,7,1,526
10131,Pac-Man Pinball Advance,0.08,0.03,0.0,0.0,0.11,2005-01-01,7,4,567
10132,Pocket Pets,0.1,0.0,0.0,0.01,0.11,2007-01-01,5,10,372
10133,Yu Yu Hakusho: Tournament Tactics,0.08,0.03,0.0,0.0,0.11,2004-01-01,7,12,54
